threshold,precision,recall,f1,fpr,roc_auc,pr_auc,criticality_weighted_recall,detection_gap
0.0,0.16216216216216217,1.0,0.27906976744186046,1.0,0.988239247311828,0.9681553101602332,1.0,0.0
0.005,0.16806722689075632,1.0,0.28776978417266186,0.9580645161290322,0.988239247311828,0.9681553101602332,1.0,0.0
0.01,0.16830294530154277,1.0,0.28811524609843936,0.9564516129032258,0.988239247311828,0.9681553101602332,1.0,0.0
0.015,0.16877637130801687,1.0,0.2888086642599278,0.9532258064516129,0.988239247311828,0.9681553101602332,1.0,0.0
0.02,0.16973125884016974,1.0,0.29020556227327693,0.9467741935483871,0.988239247311828,0.9681553101602332,1.0,0.0
0.025,0.17094017094017094,1.0,0.291970802919708,0.9387096774193548,0.988239247311828,0.9681553101602332,1.0,0.0
0.03,0.17266187050359713,1.0,0.294478527607362,0.9274193548387096,0.988239247311828,0.9681553101602332,1.0,0.0
0.035,0.1741654571843251,1.0,0.29666254635352285,0.917741935483871,0.988239247311828,0.9681553101602332,1.0,0.0
0.04,0.17647058823529413,1.0,0.3,0.9032258064516129,0.988239247311828,0.9681553101602332,1.0,0.0
0.045,0.17699115044247787,1.0,0.3007518796992481,0.9,0.988239247311828,0.9681553101602332,1.0,0.0
0.05,0.17883755588673622,1.0,0.3034134007585335,0.8887096774193548,0.988239247311828,0.9681553101602332,1.0,0.0
0.055,0.17937219730941703,1.0,0.3041825095057034,0.885483870967742,0.988239247311828,0.9681553101602332,1.0,0.0
0.06,0.18126888217522658,1.0,0.3069053708439898,0.8741935483870967,0.988239247311828,0.9681553101602332,1.0,0.0
0.065,0.182648401826484,1.0,0.3088803088803089,0.8661290322580645,0.988239247311828,0.9681553101602332,1.0,0.0
0.07,0.18376722817764166,1.0,0.31047865459249674,0.8596774193548387,0.988239247311828,0.9681553101602332,1.0,0.0
0.075,0.18547140649149924,1.0,0.31290743155149936,0.85,0.988239247311828,0.9681553101602332,1.0,0.0
0.08,0.18779342723004694,1.0,0.31620553359683795,0.8370967741935483,0.988239247311828,0.9681553101602332,1.0,0.0
0.085,0.189873417721519,1.0,0.3191489361702128,0.8258064516129032,0.988239247311828,0.9681553101602332,1.0,0.0
0.09,0.19292604501607716,1.0,0.32345013477088946,0.8096774193548387,0.988239247311828,0.9681553101602332,1.0,0.0
0.095,0.1941747572815534,1.0,0.3252032520325203,0.8032258064516129,0.988239247311828,0.9681553101602332,1.0,0.0
0.1,0.19575856443719414,1.0,0.3274215552523875,0.7951612903225806,0.988239247311828,0.9681553101602332,1.0,0.0
0.105,0.19769357495881384,1.0,0.33012379642365886,0.785483870967742,0.988239247311828,0.9681553101602332,1.0,0.0
0.11,0.20270270270270271,1.0,0.33707865168539325,0.7612903225806451,0.988239247311828,0.9681553101602332,1.0,0.0
0.115,0.20512820512820512,1.0,0.3404255319148936,0.75,0.988239247311828,0.9681553101602332,1.0,0.0
0.12,0.20654044750430292,1.0,0.34236804564907275,0.7435483870967742,0.988239247311828,0.9681553101602332,1.0,0.0
0.125,0.2094240837696335,1.0,0.3463203463203463,0.7306451612903225,0.988239247311828,0.9681553101602332,1.0,0.0
0.13,0.21352313167259787,1.0,0.3519061583577713,0.7129032258064516,0.988239247311828,0.9681553101602332,1.0,0.0
0.135,0.21699819168173598,1.0,0.35661218424962854,0.6983870967741935,0.988239247311828,0.9681553101602332,1.0,0.0
0.14,0.22099447513812154,1.0,0.36199095022624433,0.682258064516129,0.988239247311828,0.9681553101602332,1.0,0.0
0.145,0.22727272727272727,1.0,0.37037037037037035,0.6580645161290323,0.988239247311828,0.9681553101602332,1.0,0.0
0.15,0.23166023166023167,1.0,0.3761755485893417,0.6419354838709678,0.988239247311828,0.9681553101602332,1.0,0.0
0.155,0.23668639053254437,1.0,0.3827751196172249,0.6241935483870967,0.988239247311828,0.9681553101602332,1.0,0.0
0.16,0.24048096192384769,1.0,0.3877221324717286,0.6112903225806452,0.988239247311828,0.9681553101602332,1.0,0.0
0.165,0.2494802494802495,1.0,0.39933444259567386,0.582258064516129,0.988239247311828,0.9681553101602332,1.0,0.0
0.17,0.2575107296137339,1.0,0.40955631399317405,0.5580645161290323,0.988239247311828,0.9681553101602332,1.0,0.0
0.17500000000000002,0.2643171806167401,1.0,0.4181184668989547,0.5387096774193548,0.988239247311828,0.9681553101602332,1.0,0.0
0.18,0.26905829596412556,1.0,0.42402826855123676,0.5258064516129032,0.988239247311828,0.9681553101602332,1.0,0.0
0.185,0.27586206896551724,1.0,0.43243243243243246,0.5080645161290323,0.988239247311828,0.9681553101602332,1.0,0.0
0.19,0.2843601895734597,1.0,0.44280442804428044,0.4870967741935484,0.988239247311828,0.9681553101602332,1.0,0.0
0.195,0.2898550724637681,1.0,0.449438202247191,0.47419354838709676,0.988239247311828,0.9681553101602332,1.0,0.0
0.2,0.3007518796992481,1.0,0.4624277456647399,0.45,0.988239247311828,0.9681553101602332,1.0,0.0
0.20500000000000002,0.30848329048843187,1.0,0.4715127701375246,0.4338709677419355,0.988239247311828,0.9681553101602332,1.0,0.0
0.21,0.31746031746031744,1.0,0.4819277108433735,0.4161290322580645,0.988239247311828,0.9681553101602332,1.0,0.0
0.215,0.32967032967032966,1.0,0.49586776859504134,0.3935483870967742,0.988239247311828,0.9681553101602332,1.0,0.0
0.22,0.3352112676056338,0.9916666666666667,0.5010526315789474,0.38064516129032255,0.988239247311828,0.9681553101602332,0.9761904761904762,0.023809523809523836
0.225,0.34402332361516036,0.9833333333333333,0.509719222462203,0.3629032258064516,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.23,0.3586626139817629,0.9833333333333333,0.5256124721603563,0.3403225806451613,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.23500000000000001,0.36875,0.9833333333333333,0.5363636363636364,0.3258064516129032,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.24,0.38311688311688313,0.9833333333333333,0.5514018691588785,0.3064516129032258,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.245,0.38943894389438943,0.9833333333333333,0.557919621749409,0.29838709677419356,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.25,0.41114982578397213,0.9833333333333333,0.5798525798525799,0.2725806451612903,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.255,0.4244604316546763,0.9833333333333333,0.592964824120603,0.25806451612903225,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.26,0.4354243542435424,0.9833333333333333,0.6035805626598465,0.2467741935483871,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.265,0.44528301886792454,0.9833333333333333,0.612987012987013,0.23709677419354838,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.27,0.4573643410852713,0.9833333333333333,0.6243386243386243,0.22580645161290322,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.275,0.4796747967479675,0.9833333333333333,0.644808743169399,0.2064516129032258,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.28,0.5,0.9833333333333333,0.6629213483146067,0.19032258064516128,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.28500000000000003,0.5198237885462555,0.9833333333333333,0.6801152737752162,0.17580645161290323,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.29,0.5363636363636364,0.9833333333333333,0.6941176470588235,0.16451612903225807,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.295,0.5539906103286385,0.9833333333333333,0.7087087087087087,0.1532258064516129,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.3,0.5673076923076923,0.9833333333333333,0.7195121951219512,0.14516129032258066,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.305,0.5841584158415841,0.9833333333333333,0.7329192546583851,0.13548387096774195,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.31,0.5989847715736041,0.9833333333333333,0.7444794952681388,0.12741935483870967,0.988239247311828,0.9681553101602332,0.9523809523809524,0.04761904761904756
0.315,0.609375,0.975,0.75,0.12096774193548387,0.988239247311828,0.9681553101602332,0.9470238095238095,0.05297619047619051
0.32,0.6256684491978609,0.975,0.762214983713355,0.11290322580645161,0.988239247311828,0.9681553101602332,0.9470238095238095,0.05297619047619051
0.325,0.6444444444444445,0.9666666666666667,0.7733333333333333,0.1032258064516129,0.988239247311828,0.9681553101602332,0.9232142857142858,0.07678571428571423
0.33,0.6534090909090909,0.9583333333333334,0.777027027027027,0.09838709677419355,0.988239247311828,0.9681553101602332,0.8994047619047619,0.10059523809523807
0.335,0.6571428571428571,0.9583333333333334,0.7796610169491526,0.0967741935483871,0.988239247311828,0.9681553101602332,0.8994047619047619,0.10059523809523807
0.34,0.6609195402298851,0.9583333333333334,0.782312925170068,0.09516129032258064,0.988239247311828,0.9681553101602332,0.8994047619047619,0.10059523809523807
0.34500000000000003,0.6826347305389222,0.95,0.794425087108014,0.08548387096774193,0.988239247311828,0.9681553101602332,0.8755952380952381,0.1244047619047619
0.35000000000000003,0.7080745341614907,0.95,0.8113879003558719,0.07580645161290323,0.988239247311828,0.9681553101602332,0.8755952380952381,0.1244047619047619
0.355,0.7307692307692307,0.95,0.8260869565217391,0.06774193548387097,0.988239247311828,0.9681553101602332,0.8755952380952381,0.1244047619047619
0.36,0.7450980392156863,0.95,0.8351648351648352,0.06290322580645161,0.988239247311828,0.9681553101602332,0.8755952380952381,0.1244047619047619
