case_id,role,E,D,A,F,C,R_CI,authority_state,evidence_class
BOUNDARY-01,OT engineer,0.2018283024785266,0.18976009536255703,0.20250270717483876,0.2026433882983473,0.187293788868077,0.19604521052113125,Bounded automation,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-01,Cybersecurity analyst,0.19085358962549276,0.19810037575233705,0.19610254444593853,0.19756585972164095,0.19321506976789185,0.1950231141287579,Bounded automation,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-01,Safety/process expert,0.2026097211825103,0.20333341827924037,0.1983961841853673,0.20509678057514155,0.20047172272017896,0.20208534231522832,Human-approved intervention,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-01,DFIR expert,0.19084424522270058,0.202212504704495,0.192246704395026,0.20427070180784365,0.1967004445340825,0.19747760713978238,Bounded automation,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-02,OT engineer,0.20289082581872844,0.19591442273357637,0.2093352480320442,0.2000728231075872,0.20043003306702137,0.20128340980354037,Human-approved intervention,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-02,Cybersecurity analyst,0.20055386536373732,0.20452718844665344,0.2041926643861845,0.2041430623362426,0.20491825935138064,0.20370328772509952,Human-approved intervention,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-02,Safety/process expert,0.2141832189385561,0.20022817656835898,0.1989265436255708,0.19745069696384607,0.20536254320211966,0.20355203583851775,Human-approved intervention,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-02,DFIR expert,0.20677383375632535,0.20331631525407076,0.19695906113822484,0.19805311270585257,0.2049035567269482,0.20239840069572052,Human-approved intervention,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-03,OT engineer,0.3534595250272206,0.3482589256098311,0.34300694175626784,0.3473929679384003,0.34870011485484437,0.34844835369224164,Human-approved intervention,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-03,Cybersecurity analyst,0.3489787982470407,0.35156190600102244,0.3483415732926481,0.350740148045098,0.34773880775026667,0.34944210839009615,Human-approved intervention,SYNTHETIC METHODOLOGICAL DEMONSTRATION
